Business_id,top1,top2,top3
007FFjmDHkT9cLE6O4Cqxg,"50 % are talking about other attributes like waiting time, price, ambience and cleanliness.",33 % of the reviews are talking about the Service,16 % of the reviews are talking about the food quality
02ooNKJDjsE50KfmL0Rqdw,"55 % are talking about other attributes like waiting time, price, ambience and cleanliness.",22 % of the reviews are talking about the food quality,22 % of the reviews are talking about the Service
05BpxQYVbywxliQ9yA0CKw,36 % of the reviews are talking about the Service,32 % of the reviews are talking about the food quality,"31 % are talking about other attributes like waiting time, price, ambience and cleanliness."
0AUdqRDyqxOB8TZ8HFettg,"66 % are talking about other attributes like waiting time, price, ambience and cleanliness.",33 % of the reviews are talking about the food quality,0 % of the reviews are talking about the Service
0BaMoKDVNv-MP84BQ9EK9A,66 % of the reviews are talking about the food quality,33 % of the reviews are talking about the Service,"0 % are talking about other attributes like waiting time, price, ambience and cleanliness."
0I0hxOcOLjKGIBUTG-G-dQ,60 % of the reviews are talking about the food quality,33 % of the reviews are talking about the Service,"6 % are talking about other attributes like waiting time, price, ambience and cleanliness."
0aSvr56wz4gRAA5TtV7_Tw,66 % of the reviews are talking about the Service,26 % of the reviews are talking about the food quality,"6 % are talking about other attributes like waiting time, price, ambience and cleanliness."
0hp3WtPSxvmJVk3BNTfhHQ,57 % of the reviews are talking about the food quality,42 % of the reviews are talking about the Service,"0 % are talking about other attributes like waiting time, price, ambience and cleanliness."
0oaeKi-s-tg830_F8nnRwQ,66 % of the reviews are talking about the food quality,33 % of the reviews are talking about the Service,"0 % are talking about other attributes like waiting time, price, ambience and cleanliness."
1BCTS8QRO-g1FH_TaP2tBA,80 % of the reviews are talking about the Service,10 % of the reviews are talking about the food quality,"10 % are talking about other attributes like waiting time, price, ambience and cleanliness."
1Ds8V2c7LlwSAA3O-9f4cA,"66 % are talking about other attributes like waiting time, price, ambience and cleanliness.",33 % of the reviews are talking about the Service,0 % of the reviews are talking about the food quality
1F4T9e6bRFwL11wnNxW4Ng,"46 % are talking about other attributes like waiting time, price, ambience and cleanliness.",38 % of the reviews are talking about the Service,15 % of the reviews are talking about the food quality
1GWJWh9WGytmkXKdkXx6Hw,"66 % are talking about other attributes like waiting time, price, ambience and cleanliness.",33 % of the reviews are talking about the Service,0 % of the reviews are talking about the food quality
1Nq7GxjvEDgAJxBeOjR_9Q,48 % of the reviews are talking about the Service,32 % of the reviews are talking about the food quality,"18 % are talking about other attributes like waiting time, price, ambience and cleanliness."
1PaQzgrhq-jy-7MMGeLuGw,"42 % are talking about other attributes like waiting time, price, ambience and cleanliness.",33 % of the reviews are talking about the Service,24 % of the reviews are talking about the food quality
1VKjDpPJdVoiRc8I9f7U9g,58 % of the reviews are talking about the Service,25 % of the reviews are talking about the food quality,"16 % are talking about other attributes like waiting time, price, ambience and cleanliness."
1buqH6E5R2jPOrTQDF6sFQ,66 % of the reviews are talking about the food quality,33 % of the reviews are talking about the Service,"0 % are talking about other attributes like waiting time, price, ambience and cleanliness."
1ibcr-sgeUXJNAE51Czjpw,"66 % are talking about other attributes like waiting time, price, ambience and cleanliness.",33 % of the reviews are talking about the food quality,0 % of the reviews are talking about the Service
1lAV0CZdveG9tYlZZfWjCA,40 % of the reviews are talking about the Service,35 % of the reviews are talking about the food quality,"25 % are talking about other attributes like waiting time, price, ambience and cleanliness."
1ofuWPYnHDp01c11BQog9w,71 % of the reviews are talking about the food quality,14 % of the reviews are talking about the Service,"14 % are talking about other attributes like waiting time, price, ambience and cleanliness."
1p76_EWPbPcTprNrEVw3-g,47 % of the reviews are talking about the Service,31 % of the reviews are talking about the food quality,"21 % are talking about other attributes like waiting time, price, ambience and cleanliness."
1r9lpt5r9l4uJxLLyt6QBw,70 % of the reviews are talking about the food quality,17 % of the reviews are talking about the Service,"11 % are talking about other attributes like waiting time, price, ambience and cleanliness."
1tFY0vj7pT-r2wVBBBrOOA,"52 % are talking about other attributes like waiting time, price, ambience and cleanliness.",33 % of the reviews are talking about the Service,14 % of the reviews are talking about the food quality
1wU_10DtV6aJbGT26kATuw,"45 % are talking about other attributes like waiting time, price, ambience and cleanliness.",36 % of the reviews are talking about the food quality,18 % of the reviews are talking about the Service
1zgcF2M_rXYdK03BTewM4g,"60 % are talking about other attributes like waiting time, price, ambience and cleanliness.",20 % of the reviews are talking about the food quality,20 % of the reviews are talking about the Service
21aN-c-5CjugDRiSdjrH3g,"66 % are talking about other attributes like waiting time, price, ambience and cleanliness.",22 % of the reviews are talking about the Service,11 % of the reviews are talking about the food quality
24MgaUT4TWO3_kZQlBu8sw,50 % of the reviews are talking about the Service,35 % of the reviews are talking about the food quality,"14 % are talking about other attributes like waiting time, price, ambience and cleanliness."
2ADoawEfSAZpnQSwVEo5Ig,50 % of the reviews are talking about the food quality,37 % of the reviews are talking about the Service,"12 % are talking about other attributes like waiting time, price, ambience and cleanliness."
2F2xrnxCJ_WdXfWGxJcn_g,42 % of the reviews are talking about the food quality,28 % of the reviews are talking about the Service,"28 % are talking about other attributes like waiting time, price, ambience and cleanliness."
2KIlQsIHwYMkuwA0T4OKrw,71 % of the reviews are talking about the Service,14 % of the reviews are talking about the food quality,"14 % are talking about other attributes like waiting time, price, ambience and cleanliness."
2KS_UunFuefCdniRrrxIkg,41 % of the reviews are talking about the Service,"41 % are talking about other attributes like waiting time, price, ambience and cleanliness.",16 % of the reviews are talking about the food quality
2SHu52w_w4Z4ACq-vx3a-Q,56 % of the reviews are talking about the Service,23 % of the reviews are talking about the food quality,"20 % are talking about other attributes like waiting time, price, ambience and cleanliness."
2SedpQ674XBqyw3Wq4kyxQ,66 % of the reviews are talking about the Service,16 % of the reviews are talking about the food quality,"16 % are talking about other attributes like waiting time, price, ambience and cleanliness."
2UQESr5pUBW5hHf6Y0XCIQ,52 % of the reviews are talking about the food quality,34 % of the reviews are talking about the Service,"13 % are talking about other attributes like waiting time, price, ambience and cleanliness."
2W7ATgSmo2hnTM3e8081VA,47 % of the reviews are talking about the Service,35 % of the reviews are talking about the food quality,"17 % are talking about other attributes like waiting time, price, ambience and cleanliness."
2XTHIR2Fza2XiC54NWiNZg,50 % of the reviews are talking about the Service,30 % of the reviews are talking about the food quality,"20 % are talking about other attributes like waiting time, price, ambience and cleanliness."
2aVQu4wnptrFM_kxDhhPIg,45 % of the reviews are talking about the Service,"42 % are talking about other attributes like waiting time, price, ambience and cleanliness.",12 % of the reviews are talking about the food quality
2cnkFsZCMp2iVEzrkj2QAw,66 % of the reviews are talking about the Service,33 % of the reviews are talking about the food quality,"0 % are talking about other attributes like waiting time, price, ambience and cleanliness."
2d-bG9IumvPOIwfr9Q4MKQ,50 % of the reviews are talking about the food quality,25 % of the reviews are talking about the Service,"25 % are talking about other attributes like waiting time, price, ambience and cleanliness."
2fY8CEOjXUkIBz3cgXZJQQ,50 % of the reviews are talking about the food quality,50 % of the reviews are talking about the Service,"0 % are talking about other attributes like waiting time, price, ambience and cleanliness."
2g6x4ISNiMxFnotBuwmZmw,40 % of the reviews are talking about the Service,"37 % are talking about other attributes like waiting time, price, ambience and cleanliness.",21 % of the reviews are talking about the food quality
2pzfPQ6-A3OL9yHhgWhuNg,54 % of the reviews are talking about the food quality,"36 % are talking about other attributes like waiting time, price, ambience and cleanliness.",9 % of the reviews are talking about the Service
2v-8QQfMLX2PCz-0S6gISQ,"50 % are talking about other attributes like waiting time, price, ambience and cleanliness.",25 % of the reviews are talking about the food quality,25 % of the reviews are talking about the Service
32utfLQ5CnaRxGXtEJ0aZA,69 % of the reviews are talking about the Service,15 % of the reviews are talking about the food quality,"15 % are talking about other attributes like waiting time, price, ambience and cleanliness."
355zerURpj4IMs2no238_A,"50 % are talking about other attributes like waiting time, price, ambience and cleanliness.",29 % of the reviews are talking about the Service,20 % of the reviews are talking about the food quality
3BGzRYh6GQbZz3LGAGb-sQ,"44 % are talking about other attributes like waiting time, price, ambience and cleanliness.",32 % of the reviews are talking about the Service,22 % of the reviews are talking about the food quality
3ENOCklTvW26cONNkScJ5Q,50 % of the reviews are talking about the Service,30 % of the reviews are talking about the food quality,"20 % are talking about other attributes like waiting time, price, ambience and cleanliness."
3Ou9p4zIJg4utQh7MDgKFg,45 % of the reviews are talking about the Service,"40 % are talking about other attributes like waiting time, price, ambience and cleanliness.",15 % of the reviews are talking about the food quality
3Ru1_F8GoUcV-QwhX378hA,37 % of the reviews are talking about the Service,"37 % are talking about other attributes like waiting time, price, ambience and cleanliness.",24 % of the reviews are talking about the food quality
3UMnOWyvnvnGrcSysb9ImQ,"62 % are talking about other attributes like waiting time, price, ambience and cleanliness.",18 % of the reviews are talking about the food quality,18 % of the reviews are talking about the Service
3i1RdbJmqLJOxc5uucarVg,"42 % are talking about other attributes like waiting time, price, ambience and cleanliness.",35 % of the reviews are talking about the Service,21 % of the reviews are talking about the food quality
3kVThNUM1mzz1lBtxdSJxw,63 % of the reviews are talking about the Service,27 % of the reviews are talking about the food quality,"9 % are talking about other attributes like waiting time, price, ambience and cleanliness."
3lRXNifVJDgqylwaQEHvGw,50 % of the reviews are talking about the food quality,25 % of the reviews are talking about the Service,"25 % are talking about other attributes like waiting time, price, ambience and cleanliness."
3lnfKVlzB7tbAtQsEvMQbQ,66 % of the reviews are talking about the Service,"33 % are talking about other attributes like waiting time, price, ambience and cleanliness.",0 % of the reviews are talking about the food quality
3nzK3K-Dfo1L6mpB8FTKkw,"58 % are talking about other attributes like waiting time, price, ambience and cleanliness.",20 % of the reviews are talking about the food quality,20 % of the reviews are talking about the Service
3rY7LYNynXGRbCT3sLABHg,50 % of the reviews are talking about the food quality,50 % of the reviews are talking about the Service,"0 % are talking about other attributes like waiting time, price, ambience and cleanliness."
3xI0ToitrAJkrUSH4gbmCA,50 % of the reviews are talking about the Service,33 % of the reviews are talking about the food quality,"16 % are talking about other attributes like waiting time, price, ambience and cleanliness."
3yb5khz4PCjiHI4ZbxfitA,50 % of the reviews are talking about the food quality,25 % of the reviews are talking about the Service,"25 % are talking about other attributes like waiting time, price, ambience and cleanliness."
40B7HIv74ZqU9tBxbuol-A,55 % of the reviews are talking about the Service,38 % of the reviews are talking about the food quality,"5 % are talking about other attributes like waiting time, price, ambience and cleanliness."
43SdD9kWXB3VwDERDxjGlA,50 % of the reviews are talking about the Service,"33 % are talking about other attributes like waiting time, price, ambience and cleanliness.",16 % of the reviews are talking about the food quality
45F5VaVlvrrtFikPa2v-tQ,"100 % are talking about other attributes like waiting time, price, ambience and cleanliness.",0 % of the reviews are talking about the food quality,0 % of the reviews are talking about the Service
4LDWGXPXAALawRn8Q2KkCg,55 % of the reviews are talking about the Service,22 % of the reviews are talking about the food quality,"22 % are talking about other attributes like waiting time, price, ambience and cleanliness."
4NfjvMzUG5rbkxtPg-8pkw,"60 % are talking about other attributes like waiting time, price, ambience and cleanliness.",26 % of the reviews are talking about the Service,13 % of the reviews are talking about the food quality
4NpySSkznGaRVye30Pvdzg,40 % of the reviews are talking about the food quality,30 % of the reviews are talking about the Service,"30 % are talking about other attributes like waiting time, price, ambience and cleanliness."
4_Ye_9x3dyMK-cfCBZrBRg,42 % of the reviews are talking about the food quality,42 % of the reviews are talking about the Service,"14 % are talking about other attributes like waiting time, price, ambience and cleanliness."
4byJn6eBAZmkPO8A8Vtxlw,43 % of the reviews are talking about the Service,37 % of the reviews are talking about the food quality,"18 % are talking about other attributes like waiting time, price, ambience and cleanliness."
4hl8B_aiHPiaqM5zATl01A,"43 % are talking about other attributes like waiting time, price, ambience and cleanliness.",30 % of the reviews are talking about the food quality,26 % of the reviews are talking about the Service
4hp_MkR3ZmxnJatmBH0E1Q,54 % of the reviews are talking about the Service,31 % of the reviews are talking about the food quality,"13 % are talking about other attributes like waiting time, price, ambience and cleanliness."
4hwe5w3opbrwFzezR6i7ig,"45 % are talking about other attributes like waiting time, price, ambience and cleanliness.",36 % of the reviews are talking about the food quality,18 % of the reviews are talking about the Service
4r0Ho5rbAZ_BhXvpQmxbag,55 % of the reviews are talking about the food quality,33 % of the reviews are talking about the Service,"11 % are talking about other attributes like waiting time, price, ambience and cleanliness."
4rwjCzSygI6batiXRGctrg,66 % of the reviews are talking about the Service,16 % of the reviews are talking about the food quality,"16 % are talking about other attributes like waiting time, price, ambience and cleanliness."
4wQWc6N0VfwVqCNxrurrSQ,43 % of the reviews are talking about the food quality,37 % of the reviews are talking about the Service,"18 % are talking about other attributes like waiting time, price, ambience and cleanliness."
4x55GDKIP4oHh7H2TKaaHg,58 % of the reviews are talking about the Service,29 % of the reviews are talking about the food quality,"11 % are talking about other attributes like waiting time, price, ambience and cleanliness."
4x8W4quFhhuTZlsoUHzVeA,62 % of the reviews are talking about the food quality,25 % of the reviews are talking about the Service,"12 % are talking about other attributes like waiting time, price, ambience and cleanliness."
5-cghsJrQjAz9nN4DNClEw,0 % of the reviews are talking about the food quality,0 % of the reviews are talking about the Service,"0 % are talking about other attributes like waiting time, price, ambience and cleanliness."
5-l_zaYVEG-ft0cwyhWpyA,53 % of the reviews are talking about the Service,"33 % are talking about other attributes like waiting time, price, ambience and cleanliness.",13 % of the reviews are talking about the food quality
50PT9wDS2nOb7Sux_kcP1g,66 % of the reviews are talking about the food quality,33 % of the reviews are talking about the Service,"0 % are talking about other attributes like waiting time, price, ambience and cleanliness."
57dbqYYLpyvTH5RRKkIWrg,"50 % are talking about other attributes like waiting time, price, ambience and cleanliness.",37 % of the reviews are talking about the Service,12 % of the reviews are talking about the food quality
5AajNPuScRYr_pM6QJYb6w,"66 % are talking about other attributes like waiting time, price, ambience and cleanliness.",33 % of the reviews are talking about the food quality,0 % of the reviews are talking about the Service
5CeizAHfOQJOI6sSh0kJmw,"52 % are talking about other attributes like waiting time, price, ambience and cleanliness.",29 % of the reviews are talking about the food quality,17 % of the reviews are talking about the Service
5Ckj7YURoNqFrsFQTJVVHQ,41 % of the reviews are talking about the Service,"35 % are talking about other attributes like waiting time, price, ambience and cleanliness.",23 % of the reviews are talking about the food quality
5DLxa3EQQykWFdIJ-KU5jg,"100 % are talking about other attributes like waiting time, price, ambience and cleanliness.",0 % of the reviews are talking about the food quality,0 % of the reviews are talking about the Service
5KAy9aeb4z2hSrPcMg3K0g,50 % of the reviews are talking about the Service,"50 % are talking about other attributes like waiting time, price, ambience and cleanliness.",0 % of the reviews are talking about the food quality
5NgaHGFA_Z_mQHYRFZGHjg,75 % of the reviews are talking about the Service,"25 % are talking about other attributes like waiting time, price, ambience and cleanliness.",0 % of the reviews are talking about the food quality
5_MYcQWzKLiFYh0cUPrgNA,66 % of the reviews are talking about the Service,16 % of the reviews are talking about the food quality,"16 % are talking about other attributes like waiting time, price, ambience and cleanliness."
5leoFV0AZZgCDbCs0G5yfQ,75 % of the reviews are talking about the food quality,25 % of the reviews are talking about the Service,"0 % are talking about other attributes like waiting time, price, ambience and cleanliness."
5mcKhJwQVjZcVncUGl2how,37 % of the reviews are talking about the food quality,"37 % are talking about other attributes like waiting time, price, ambience and cleanliness.",25 % of the reviews are talking about the Service
5xCeuEI7Einoi5xYsNuDCQ,38 % of the reviews are talking about the Service,35 % of the reviews are talking about the food quality,"26 % are talking about other attributes like waiting time, price, ambience and cleanliness."
65f0pXB1bSwHH1Pi7kkryw,33 % of the reviews are talking about the food quality,33 % of the reviews are talking about the Service,"33 % are talking about other attributes like waiting time, price, ambience and cleanliness."
65iIzq80WQ1nMqj_rLWNYQ,66 % of the reviews are talking about the Service,16 % of the reviews are talking about the food quality,"16 % are talking about other attributes like waiting time, price, ambience and cleanliness."
65r0LP3I5sWH-1HXM6eQAg,42 % of the reviews are talking about the food quality,42 % of the reviews are talking about the Service,"14 % are talking about other attributes like waiting time, price, ambience and cleanliness."
66EYUS3iichq-Gn6KjgX2A,40 % of the reviews are talking about the Service,30 % of the reviews are talking about the food quality,"30 % are talking about other attributes like waiting time, price, ambience and cleanliness."
6MKdilxYLP3W02wnu3UFmQ,76 % of the reviews are talking about the Service,23 % of the reviews are talking about the food quality,"0 % are talking about other attributes like waiting time, price, ambience and cleanliness."
6MpRsUKPpGUXklU2bYHUDg,"40 % are talking about other attributes like waiting time, price, ambience and cleanliness.",34 % of the reviews are talking about the Service,24 % of the reviews are talking about the food quality
6SN1K-dWH5LoGHz4-SA1HQ,37 % of the reviews are talking about the food quality,37 % of the reviews are talking about the Service,"25 % are talking about other attributes like waiting time, price, ambience and cleanliness."
6UUBVPqLLHpwLnDSL0jMuw,50 % of the reviews are talking about the food quality,30 % of the reviews are talking about the Service,"20 % are talking about other attributes like waiting time, price, ambience and cleanliness."
6UjC8B-WvhsuiTrIeVqHnA,100 % of the reviews are talking about the food quality,0 % of the reviews are talking about the Service,"0 % are talking about other attributes like waiting time, price, ambience and cleanliness."
6VZ4T_BnTl8swN-g06ZVYg,"66 % are talking about other attributes like waiting time, price, ambience and cleanliness.",33 % of the reviews are talking about the food quality,0 % of the reviews are talking about the Service
6c4AW8WTpTA_xZYOrJx3Eg,"37 % are talking about other attributes like waiting time, price, ambience and cleanliness.",34 % of the reviews are talking about the food quality,28 % of the reviews are talking about the Service
6cvOP_D-dqLm-YDSBG646w,"66 % are talking about other attributes like waiting time, price, ambience and cleanliness.",33 % of the reviews are talking about the Service,0 % of the reviews are talking about the food quality
6eUJ3BbrP7tsEKwYhMI4_Q,"87 % are talking about other attributes like waiting time, price, ambience and cleanliness.",12 % of the reviews are talking about the Service,0 % of the reviews are talking about the food quality
6hfvVrOMmYapWGS1PN0b2w,100 % of the reviews are talking about the Service,0 % of the reviews are talking about the food quality,"0 % are talking about other attributes like waiting time, price, ambience and cleanliness."
6kZ5oQALI1NsP-y6H3cKWQ,37 % of the reviews are talking about the Service,"37 % are talking about other attributes like waiting time, price, ambience and cleanliness.",25 % of the reviews are talking about the food quality
6mosGDOJQVN6OevO5mIqkA,"50 % are talking about other attributes like waiting time, price, ambience and cleanliness.",33 % of the reviews are talking about the Service,16 % of the reviews are talking about the food quality
6rN_wreWNCl3wLNZYZCYOA,40 % of the reviews are talking about the Service,"36 % are talking about other attributes like waiting time, price, ambience and cleanliness.",23 % of the reviews are talking about the food quality
6xLwHi5IQMjTMDAfOCBt1g,60 % of the reviews are talking about the food quality,20 % of the reviews are talking about the Service,"20 % are talking about other attributes like waiting time, price, ambience and cleanliness."
6xbQJ3VdB5a0pZklDjHjCQ,50 % of the reviews are talking about the Service,25 % of the reviews are talking about the food quality,"25 % are talking about other attributes like waiting time, price, ambience and cleanliness."
7-p1-QG4a1-kWoPFI2mUYg,50 % of the reviews are talking about the Service,"33 % are talking about other attributes like waiting time, price, ambience and cleanliness.",16 % of the reviews are talking about the food quality
700A-sisAtKIqGEcR7gASg,"44 % are talking about other attributes like waiting time, price, ambience and cleanliness.",33 % of the reviews are talking about the Service,22 % of the reviews are talking about the food quality
75i9St7QE12NX5JM-Zt90g,50 % of the reviews are talking about the Service,25 % of the reviews are talking about the food quality,"25 % are talking about other attributes like waiting time, price, ambience and cleanliness."
77ooovMlCnakFGZhQGKGRw,60 % of the reviews are talking about the food quality,40 % of the reviews are talking about the Service,"0 % are talking about other attributes like waiting time, price, ambience and cleanliness."
7AbGkqgXXHhjktaXi_YmrA,53 % of the reviews are talking about the food quality,26 % of the reviews are talking about the Service,"20 % are talking about other attributes like waiting time, price, ambience and cleanliness."
7IVaamfpMdyVQVkhO9ntEA,36 % of the reviews are talking about the food quality,36 % of the reviews are talking about the Service,"27 % are talking about other attributes like waiting time, price, ambience and cleanliness."
7JYjXxB9tnAeSn6-NNSq8Q,75 % of the reviews are talking about the Service,25 % of the reviews are talking about the food quality,"0 % are talking about other attributes like waiting time, price, ambience and cleanliness."
7Q2cYSl5NBYytJzgjX0oKw,47 % of the reviews are talking about the Service,32 % of the reviews are talking about the food quality,"19 % are talking about other attributes like waiting time, price, ambience and cleanliness."
7_582HYkh5Ki9n5aWK8dmQ,56 % of the reviews are talking about the Service,21 % of the reviews are talking about the food quality,"21 % are talking about other attributes like waiting time, price, ambience and cleanliness."
7_YOEQXlrbGpF9t9TPG_nQ,70 % of the reviews are talking about the Service,20 % of the reviews are talking about the food quality,"10 % are talking about other attributes like waiting time, price, ambience and cleanliness."
7aIT103VQokS0cSk1xnTuQ,40 % of the reviews are talking about the food quality,"40 % are talking about other attributes like waiting time, price, ambience and cleanliness.",20 % of the reviews are talking about the Service
7dln44D2PZWe0lzAJmDZMg,"100 % are talking about other attributes like waiting time, price, ambience and cleanliness.",0 % of the reviews are talking about the food quality,0 % of the reviews are talking about the Service
7iGqep3bONVhl8Dfhc32wQ,80 % of the reviews are talking about the food quality,20 % of the reviews are talking about the Service,"0 % are talking about other attributes like waiting time, price, ambience and cleanliness."
7vPI7feAokYh3ZN9a0drOg,50 % of the reviews are talking about the Service,25 % of the reviews are talking about the food quality,"25 % are talking about other attributes like waiting time, price, ambience and cleanliness."
7y8wJmvouRJSXgpUw94wYA,38 % of the reviews are talking about the Service,30 % of the reviews are talking about the food quality,"30 % are talking about other attributes like waiting time, price, ambience and cleanliness."
7yMtQ3nlre2Tr9C3UTQY-g,100 % of the reviews are talking about the Service,0 % of the reviews are talking about the food quality,"0 % are talking about other attributes like waiting time, price, ambience and cleanliness."
870wJgRZMQLt9jNN8-RgQg,40 % of the reviews are talking about the food quality,40 % of the reviews are talking about the Service,"20 % are talking about other attributes like waiting time, price, ambience and cleanliness."
89Tgq6_T1m8CQ-8l_VPcDQ,50 % of the reviews are talking about the Service,"50 % are talking about other attributes like waiting time, price, ambience and cleanliness.",0 % of the reviews are talking about the food quality
8AH0BbxfwLEPR8WE8PBr6g,42 % of the reviews are talking about the food quality,"42 % are talking about other attributes like waiting time, price, ambience and cleanliness.",14 % of the reviews are talking about the Service
8C4R3FLXERdrMtiD5YdLYA,"53 % are talking about other attributes like waiting time, price, ambience and cleanliness.",30 % of the reviews are talking about the Service,16 % of the reviews are talking about the food quality
8CYVg6GtuVb4yo0_V2_bQA,50 % of the reviews are talking about the food quality,"50 % are talking about other attributes like waiting time, price, ambience and cleanliness.",0 % of the reviews are talking about the Service
8ZhTEANRxKQ3KAW1wY9r6Q,36 % of the reviews are talking about the food quality,"36 % are talking about other attributes like waiting time, price, ambience and cleanliness.",27 % of the reviews are talking about the Service
8a9Fyvqyk1ovoojnP_pvRQ,40 % of the reviews are talking about the food quality,40 % of the reviews are talking about the Service,"20 % are talking about other attributes like waiting time, price, ambience and cleanliness."
8h5C4aF_MIwlLBc9JtaD7Q,46 % of the reviews are talking about the Service,28 % of the reviews are talking about the food quality,"25 % are talking about other attributes like waiting time, price, ambience and cleanliness."
8jHr3atzErzItizENMkpzQ,66 % of the reviews are talking about the Service,"33 % are talking about other attributes like waiting time, price, ambience and cleanliness.",0 % of the reviews are talking about the food quality
8reRvd7xjNMNizvbMsPvMg,36 % of the reviews are talking about the food quality,36 % of the reviews are talking about the Service,"26 % are talking about other attributes like waiting time, price, ambience and cleanliness."
9DS9nQCOMVfrFZtVtvspsA,44 % of the reviews are talking about the Service,"44 % are talking about other attributes like waiting time, price, ambience and cleanliness.",11 % of the reviews are talking about the food quality
9E1q2uEMd881wnruicNTUA,36 % of the reviews are talking about the food quality,"34 % are talking about other attributes like waiting time, price, ambience and cleanliness.",29 % of the reviews are talking about the Service
9E_-MgxyfWNq-kWmjxSDkA,41 % of the reviews are talking about the Service,"37 % are talking about other attributes like waiting time, price, ambience and cleanliness.",20 % of the reviews are talking about the food quality
9HG09ZNqzrEUz-ipSTRkKA,"50 % are talking about other attributes like waiting time, price, ambience and cleanliness.",37 % of the reviews are talking about the Service,12 % of the reviews are talking about the food quality
9JTkh1D7u9fRBohglQRL0w,50 % of the reviews are talking about the food quality,50 % of the reviews are talking about the Service,"0 % are talking about other attributes like waiting time, price, ambience and cleanliness."
9K4WIS_4L94vkExuHcc17Q,50 % of the reviews are talking about the food quality,25 % of the reviews are talking about the Service,"25 % are talking about other attributes like waiting time, price, ambience and cleanliness."
9NrRvbS29aAav-BuOShRZA,"42 % are talking about other attributes like waiting time, price, ambience and cleanliness.",30 % of the reviews are talking about the food quality,26 % of the reviews are talking about the Service
9OwoNe9ksUeU6zYasGhrPA,"50 % are talking about other attributes like waiting time, price, ambience and cleanliness.",42 % of the reviews are talking about the Service,7 % of the reviews are talking about the food quality
9PBfeIO-4_oNTJ_pfyesUQ,60 % of the reviews are talking about the food quality,40 % of the reviews are talking about the Service,"0 % are talking about other attributes like waiting time, price, ambience and cleanliness."
9RBH808zVqoMZ-NBSouzjw,"50 % are talking about other attributes like waiting time, price, ambience and cleanliness.",40 % of the reviews are talking about the Service,9 % of the reviews are talking about the food quality
